"pos_age","line_age","pos","pop","line","age","lat","region","percent_N","percent_C","C_N"
"212_young","HV_5_young",212,"HV",5,"young",37.1818,"temperate",3.819,41.356,10.82901283
"213_young","HV_5_young",213,"HV",5,"young",37.1818,"temperate",0.698,20.837,29.85243553
"214_young","HV_7_young",214,"HV",7,"young",37.1818,"temperate",1.979,40.614,20.5224861
"215_young","HV_7_young",215,"HV",7,"young",37.1818,"temperate",1.516,40.963,27.02044855
"216_young","HV_7_young",216,"HV",7,"young",37.1818,"temperate",1.254,35.51,28.31499203
"217_young","HV_10_young",217,"HV",10,"young",37.1818,"temperate",1.504,39.99,26.59042553
"218_young","HV_10_young",218,"HV",10,"young",37.1818,"temperate",1.466,40.366,27.53478854
"219_young","HV_10_young",219,"HV",10,"young",37.1818,"temperate",1.312,39.773,30.31478659
"220_young","HV_10_young",220,"HV",10,"young",37.1818,"temperate",1.94,39.927,20.58092784
"221_young","HV_13_young",221,"HV",13,"young",37.1818,"temperate",1.48,40.82,27.58175676
"222_young","HV_13_young",222,"HV",13,"young",37.1818,"temperate",1.304,38.843,29.78757669
"223_young","HV_13_young",223,"HV",13,"young",37.1818,"temperate",1.36,39.197,28.82132353
"224_mature","Hwy 27_1_mature",224,"Hwy 27",1,"mature",26.537067,"subtropical",0.893,33.487,37.49944009
"225_mature","Hwy 27_2_mature",225,"Hwy 27",2,"mature",26.537067,"subtropical",1.364,40.221,29.48753666
"226_mature","Hwy 27_2_mature",226,"Hwy 27",2,"mature",26.537067,"subtropical",1.352,43.95,32.50813609
"227_mature","Hwy 27_2_mature",227,"Hwy 27",2,"mature",26.537067,"subtropical",0.98,37.327,38.08877551
"228_mature","Hwy 27_3_mature",228,"Hwy 27",3,"mature",26.537067,"subtropical",1.196,40.789,34.10451505
"229_mature","Hwy 27_6_mature",229,"Hwy 27",6,"mature",26.537067,"subtropical",1.372,36.58,26.66180758
"230_mature","Hwy 27_6_mature",230,"Hwy 27",6,"mature",26.537067,"subtropical",1.238,38.12,30.7907916
"231_mature","Hwy 27_6_mature",231,"Hwy 27",6,"mature",26.537067,"subtropical",1.074,37.49,34.90689013
"232_mature","Hwy 27_8_mature",232,"Hwy 27",8,"mature",26.537067,"subtropical",1.232,39.624,32.16233766
"233_mature","Hwy 27_8_mature",233,"Hwy 27",8,"mature",26.537067,"subtropical",1.293,37.426,28.94508894
"234_mature","Hwy 27_1_mature",234,"Hwy 27",1,"mature",26.537067,"subtropical",1.1535,40.0898,34.75491981
