"pos_age","line_age","pos","pop","line","age","lat","region","log.abund","richness","diversity","NMDS1","NMDS2"
"25_young","Hwy 27_6_young",25,"Hwy 27",6,"young",26.537067,"subtropical",11.1137618483009,896,4.29398981741113,0.317861065628725,0.314450382030015
"86_mature","Hwy 27_8_mature",86,"Hwy 27",8,"mature",26.537067,"subtropical",10.0916362864621,987,4.26277536736174,0.0995195656733979,-0.260951499663137
"86_young","Hwy 27_8_young",86,"Hwy 27",8,"young",26.537067,"subtropical",11.3152061488465,797,4.4860070272584,-0.0771059878799085,0.18394692965117
"71_mature","Hwy 27_9_mature",71,"Hwy 27",9,"mature",26.537067,"subtropical",9.6251738936914,874,4.75622575654943,0.047881775280573,-0.169130647944502
"71_young","Hwy 27_9_young",71,"Hwy 27",9,"young",26.537067,"subtropical",11.3854331270078,846,4.60191061711591,-0.0464922933272708,0.229634418069149
"76_mature","KBS_12_mature",76,"KBS",12,"mature",42.399933,"north temperate",10.0296849018694,670,4.75312228594929,-0.171583974513613,0.318921711342848
"76_young","KBS_12_young",76,"KBS",12,"young",42.399933,"north temperate",11.7310993225788,547,4.30905323264112,-0.419299048497938,0.50953879933995
"145_mature","KBS_2_mature",145,"KBS",2,"mature",42.399933,"north temperate",10.2215153765253,921,4.3780156916164,-0.142089244645626,-0.201166048124897
"145_young","KBS_2_young",145,"KBS",2,"young",42.399933,"north temperate",11.3996407466553,726,4.62759424813302,-0.280219190158441,0.179059358552791
"29_mature","KBS_5_mature",29,"KBS",5,"mature",42.399933,"north temperate",10.0255765527549,856,3.73042009197914,0.0257000444344411,-0.323204419641415
"29_young","KBS_5_young",29,"KBS",5,"young",42.399933,"north temperate",11.6618457926399,670,3.65900082720626,-0.274389849692837,0.321796938531806
"96_mature","KBS_8_mature",96,"KBS",8,"mature",42.399933,"north temperate",10.2966833581156,858,4.3618316946649,-0.169676276356323,-0.169089122776706
"96_young","KBS_8_young",96,"KBS",8,"young",42.399933,"north temperate",11.9179817367869,815,4.52995845833461,-0.320563178113804,0.00993163679888769
"80_mature","KBS_9_mature",80,"KBS",9,"mature",42.399933,"north temperate",10.6576357149353,753,4.66129944711728,-0.120970117505549,0.236638021284073
"80_young","KBS_9_young",80,"KBS",9,"young",42.399933,"north temperate",11.4097376335402,587,4.42457289748436,-0.291342594520704,0.428844606027347
"113_mature","MacArthur_15_mature",113,"MacArthur",15,"mature",27.177583,"subtropical",9.93951599034616,1009,4.74021536429405,0.16778531925805,-0.170470676933204
"113_young","MacArthur_15_young",113,"MacArthur",15,"young",27.177583,"subtropical",10.8434389333824,930,4.84478521111402,0.284491033254121,0.0991817266210549
"66_mature","MacArthur_16_mature",66,"MacArthur",16,"mature",27.177583,"subtropical",9.76178732763419,769,4.69015826557785,0.035416062077226,0.184722877295078
"66_young","MacArthur_16_young",66,"MacArthur",16,"young",27.177583,"subtropical",11.2889379760298,852,4.42264789695546,-0.0274872235170769,0.194657788242089
"13_mature","MacArthur_21_mature",13,"MacArthur",21,"mature",27.177583,"subtropical",9.74305166833991,877,4.98283238567659,0.124659740943751,-0.0865238958407237
"13_young","MacArthur_21_young",13,"MacArthur",21,"young",27.177583,"subtropical",10.6372996710466,947,4.76454124701166,0.340053644342685,0.0868464961248357
"23_mature","MacArthur_22_mature",23,"MacArthur",22,"mature",27.177583,"subtropical",9.82212480775887,883,4.81256832496751,0.178680719801168,0.0455865385204209
